cc_number,crime_date_time,crime_code,description,inside_outside,weapon,post,gender,age,race,location,old_district,new_district,neighborhood,latitude,longitude,premise_type,total_incidents,year,month,hour,date,age_range,time_range,during_or_just_after_school,around_lunch,quarter,quarter_date
23k01406,2023-11-05T00:45:00Z,9,shooting,outside,handgun,222,m,32,NA,1800 orleans st,n/a,southeast,dunbar-broadway,39.295315,-76.591319,drug store / med  bl,1,2023,11,0,2023-11-05,26 to 34,early morning,FALSE,FALSE,4,2023-12-31
23l00645,2023-12-02T20:30:00Z,9,shooting,inside,rifle,634,m,31,black_or_african_american,3400 parkington ave,n/a,northwest,glen,39.359234,-76.687359,street,1,2023,12,20,2023-12-02,26 to 34,night,FALSE,FALSE,4,2023-12-31
23l00646,2023-12-02T20:45:00Z,9,shooting,inside,firearm,125,m,32,black_or_african_american,1000 n eden st,n/a,central,johnston square,39.301859,-76.599445,street,1,2023,12,20,2023-12-02,26 to 34,night,FALSE,FALSE,4,2023-12-31
23l07413,2023-12-24T10:49:00Z,9,shooting,inside,firearm,323,m,21,black_or_african_american,1400 n montford ave,n/a,eastern,broadway east,39.306879,-76.5843,street,1,2023,12,10,2023-12-24,18 to 25,morning,TRUE,FALSE,4,2023-12-31
23k08078,2023-11-26T04:36:00Z,9,shooting,inside,firearm,215,m,33,black_or_african_american,400 n curley st,n/a,southeast,ellwood park/monument,39.296228,-76.575822,street,1,2023,11,4,2023-11-26,26 to 34,morning,FALSE,FALSE,4,2023-12-31
23l05954,2023-12-19T17:05:00Z,9,shooting,inside,firearm,423,m,25,black_or_african_american,2300 e northern pkwy,n/a,northeast,hamilton hills,39.36823,-76.56702,shed/garage,1,2023,12,17,2023-12-19,18 to 25,evening,TRUE,FALSE,4,2023-12-31
23j03662,2023-10-10T06:54:00Z,9,shooting,inside,handgun,312,m,52,black_or_african_american,0 w 21st st,n/a,eastern,charles north,39.31317101765444,-76.61676734134761,street,1,2023,10,6,2023-10-10,51 to 74,morning,FALSE,FALSE,4,2023-12-31
23k07335,2023-11-23T11:59:00Z,9,shooting,outside,handgun,515,f,24,black_or_african_american,500 e 35th st,n/a,northern,waverly,39.330999,-76.608977,other/residential,1,2023,11,11,2023-11-23,18 to 25,morning,TRUE,FALSE,4,2023-12-31
23j01234,2023-10-03T20:20:00Z,9,shooting,outside,firearm,421,m,18,black_or_african_american,1700 argonne dr,n/a,northeast,morgan state university,39.340038,-76.587742,school,1,2023,10,20,2023-10-03,juvenile,night,FALSE,FALSE,4,2023-12-31
23j01234,2023-10-03T20:20:00Z,9,shooting,outside,firearm,421,m,22,black_or_african_american,1700 argonne dr,n/a,northeast,morgan state university,39.340038,-76.587742,school,1,2023,10,20,2023-10-03,18 to 25,night,FALSE,FALSE,4,2023-12-31
23j01273,2023-10-03T23:42:00Z,9,shooting,outside,handgun,722,m,15,black_or_african_american,900 mckean ave,n/a,western,sandtown-winchester,39.299222,-76.646831,other/residential,1,2023,10,23,2023-10-03,juvenile,night,FALSE,FALSE,4,2023-12-31
23l06898,2023-12-22T15:00:00Z,9,shooting,outside,firearm,432,f,42,black_or_african_american,4600 chatford ave,n/a,northeast,parkside,39.324489,-76.558027,drug store / med  bl,1,2023,12,15,2023-12-22,35 to 50,after school,TRUE,FALSE,4,2023-12-31
23l06860,2023-12-22T13:38:00Z,9,shooting,outside,handgun,325,m,28,black_or_african_american,1900 n patterson park ave,n/a,eastern,south clifton park,39.312592,-76.586055,unknown,1,2023,12,13,2023-12-22,26 to 34,early afternoon,TRUE,FALSE,4,2023-12-31
23k01352,2023-11-04T22:28:00Z,9,shooting,inside,handgun,233,m,24,black_or_african_american,2 rocky lane,n/a,southeast,greektown,39.2860144661346,-76.55791443031615,street,1,2023,11,22,2023-11-04,18 to 25,night,FALSE,FALSE,4,2023-12-31
23k01318,2023-11-04T20:11:00Z,9,shooting,inside,firearm,315,m,41,black_or_african_american,1700 carswell st,n/a,eastern,coldstream homestead montebello,39.321513,-76.593552,street,1,2023,11,20,2023-11-04,35 to 50,night,FALSE,FALSE,4,2023-12-31
23l06920,2023-12-22T16:40:00Z,9,shooting,inside,handgun,713,m,46,black_or_african_american,1600 madison ave,n/a,western,madison park,39.305428,-76.628273,street,1,2023,12,16,2023-12-22,35 to 50,after school,TRUE,FALSE,4,2023-12-31
23k06862,2023-11-21T21:50:00Z,9,shooting,inside,firearm,525,m,28,black_or_african_american,300 e university pkwy,n/a,northern,oakenshawe,39.329811,-76.613599,street,1,2023,11,21,2023-11-21,26 to 34,night,FALSE,FALSE,4,2023-12-31
23k06641,2023-11-21T08:39:00Z,9,shooting,inside,handgun,325,m,61,black_or_african_american,1900 belair rd,n/a,eastern,south clifton park,39.312683,-76.584042,gas station,1,2023,11,8,2023-11-21,51 to 74,morning,TRUE,FALSE,4,2023-12-31
23l09592,2023-12-31T22:30:00Z,9,shooting,NA,NA,433,m,24,black_or_african_american,5300 frankford ave,n/a,northeast,frankford,39.324421,-76.540757,NA,1,2023,12,22,2023-12-31,18 to 25,night,FALSE,FALSE,4,2023-12-31
23k06861,2023-11-21T21:20:00Z,9,shooting,inside,firearm,912,m,17,black_or_african_american,3000 s hanover st,n/a,southern,middle branch/reedbird parks,39.251381,-76.614942,street,1,2023,11,21,2023-11-21,juvenile,night,FALSE,FALSE,4,2023-12-31
23k00562,2023-11-02T15:37:06Z,9,shooting,inside,firearm,421,m,47,black_or_african_american,4300 belair rd,n/a,northeast,belair-parkside,39.328331,-76.565331,street,1,2023,11,15,2023-11-02,35 to 50,after school,TRUE,FALSE,4,2023-12-31
23j05189,2023-10-14T10:43:00Z,9,shooting,inside,handgun,913,m,46,white,3700 west bay ave,n/a,southern,brooklyn,39.23255673045976,-76.59480964996753,street,1,2023,10,10,2023-10-14,35 to 50,morning,TRUE,FALSE,4,2023-12-31
23k04871,2023-11-15T21:39:00Z,9,shooting,inside,firearm,832,m,27,black_or_african_american,2000 w pratt st,n/a,southwest,carrollton ridge,39.285142,-76.648573,street,1,2023,11,21,2023-11-15,26 to 34,night,FALSE,FALSE,4,2023-12-31
23k04871,2023-11-15T21:39:00Z,9,shooting,inside,firearm,832,m,20,black_or_african_american,2000 w pratt st,n/a,southwest,carrollton ridge,39.285142,-76.648573,street,1,2023,11,21,2023-11-15,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l05140,2023-12-17T00:23:00Z,9,shooting,inside,handgun,934,m,24,black_or_african_american,1200 light st,n/a,southern,federal hill,39.275785,-76.612251,shed/garage,1,2023,12,0,2023-12-17,18 to 25,early morning,FALSE,FALSE,4,2023-12-31
23j04737,2023-10-13T02:10:53Z,9,shooting,outside,firearm,932,f,20,black_or_african_american,1100 s carey st,n/a,southern,washington village/pigtown,39.281013,-76.635742,other/residential,1,2023,10,2,2023-10-13,18 to 25,early morning,FALSE,FALSE,4,2023-12-31
23l08941,2023-12-29T18:12:00Z,9,shooting,inside,firearm,531,m,50,black_or_african_american,2400 liberty heights ave,n/a,northern,mondawmin,39.31865,-76.653993,street,1,2023,12,18,2023-12-29,35 to 50,evening,TRUE,FALSE,4,2023-12-31
23l09000,2023-12-29T21:45:00Z,9,shooting,inside,handgun,214,m,39,NA,100 grundy st,n/a,southeast,baltimore highlands,39.290635606749085,-76.56353514202367,street,1,2023,12,21,2023-12-29,35 to 50,night,FALSE,FALSE,4,2023-12-31
23l08990,2023-12-29T21:20:00Z,9,shooting,inside,handgun,624,m,20,black_or_african_american,4900 reisterstown rd,n/a,northwest,lucille park,39.342146,-76.678047,street,1,2023,12,21,2023-12-29,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l08721,2023-12-29T04:00:00Z,9,shooting,inside,firearm,524,m,32,black_or_african_american,5100 craig ave,n/a,northern,winston-govans,39.350133,-76.606641,street,1,2023,12,4,2023-12-29,26 to 34,morning,FALSE,FALSE,4,2023-12-31
23k09595,2023-11-30T20:38:00Z,9,shooting,inside,firearm,835,m,35,black_or_african_american,100 s schroeder st,n/a,southwest,hollins market,39.286711,-76.633737,street,1,2023,11,20,2023-11-30,35 to 50,night,FALSE,FALSE,4,2023-12-31
23k09458,2023-11-30T13:37:00Z,9,shooting,inside,handgun,224,m,23,black_or_african_american,200 n glover st,n/a,southeast,mcelderry park,39.294593,-76.579987,street,1,2023,11,13,2023-11-30,18 to 25,early afternoon,TRUE,FALSE,4,2023-12-31
23k09342,2023-11-30T03:50:00Z,9,shooting,inside,firearm,533,m,20,black_or_african_american,3400 royce ave,n/a,northern,central park heights,39.340678,-76.670529,street,1,2023,11,3,2023-11-30,18 to 25,early morning,FALSE,FALSE,4,2023-12-31
23l07311,2023-12-23T23:30:00Z,9,shooting,inside,handgun,121,m,29,black_or_african_american,0 s greene st,n/a,central,university of maryland,39.288377,-76.623714,street,1,2023,12,23,2023-12-23,26 to 34,night,FALSE,FALSE,4,2023-12-31
23j11400,2023-10-31T22:50:00Z,9,shooting,outside,handgun,811,f,34,black_or_african_american,1100 cooks ln,n/a,southwest,west hills,39.298354,-76.709862,other/residential,1,2023,10,22,2023-10-31,26 to 34,night,FALSE,FALSE,4,2023-12-31
23k09417,2023-11-30T11:54:00Z,9,shooting,inside,firearm,831,m,31,white,2200 christian st,n/a,southwest,carrollton ridge,39.281375,-76.65097,street,1,2023,11,11,2023-11-30,26 to 34,morning,TRUE,FALSE,4,2023-12-31
23k08351,2023-11-27T03:15:00Z,9,shooting,inside,handgun,724,m,18,black_or_african_american,2600 mosher st,n/a,western,mosher,39.29942566947674,-76.66029738153874,street,1,2023,11,3,2023-11-27,juvenile,early morning,FALSE,FALSE,4,2023-12-31
23k08623,2023-11-27T20:00:00Z,9,shooting,inside,automatic_firearm,614,m,18,black_or_african_american,2100 chelsea ter,n/a,northwest,mount holly,39.312108,-76.680712,street,1,2023,11,20,2023-11-27,juvenile,night,FALSE,FALSE,4,2023-12-31
23k09619,2023-11-30T22:59:00Z,9,shooting,inside,firearm,215,m,43,black_or_african_american,2900 mcelderry st,n/a,southeast,ellwood park/monument,39.298015,-76.576507,street,1,2023,11,22,2023-11-30,35 to 50,night,FALSE,FALSE,4,2023-12-31
23l04376,2023-12-14T14:00:00Z,9,shooting,inside,handgun,521,m,16,black_or_african_american,4100 edgehill ave,n/a,northern,medfield,39.33706661994713,-76.6393529413776,street,1,2023,12,14,2023-12-14,juvenile,early afternoon,TRUE,FALSE,4,2023-12-31
23k09300,2023-11-29T22:50:00Z,9,shooting,inside,firearm,532,m,21,black_or_african_american,2400 shirley ave,n/a,northern,greenspring,39.335808,-76.659409,street,1,2023,11,22,2023-11-29,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l04384,2023-12-14T14:30:00Z,9,shooting,outside,handgun,222,m,17,black_or_african_american,1800 orleans st,n/a,southeast,dunbar-broadway,39.295315,-76.591319,drug store / med  bl,1,2023,12,14,2023-12-14,juvenile,early afternoon,TRUE,FALSE,4,2023-12-31
23l03896,2023-12-13T00:57:00Z,9,shooting,inside,handgun,615,m,47,black_or_african_american,1800 n rosedale st,n/a,northwest,northwest community action,39.30807,-76.669321,street,1,2023,12,0,2023-12-13,35 to 50,early morning,FALSE,FALSE,4,2023-12-31
23k02453,2023-11-08T09:40:13Z,9,shooting,inside,firearm,111,f,41,black_or_african_american,100 s eutaw st,n/a,central,downtown west,39.28745931377359,-76.62087710661464,street,1,2023,11,9,2023-11-08,35 to 50,morning,TRUE,FALSE,4,2023-12-31
23k02611,2023-11-08T18:17:00Z,9,shooting,inside,firearm,824,m,24,black_or_african_american,100 s payson st,n/a,southwest,carrollton ridge,39.28617874227714,-76.6486150309975,street,1,2023,11,18,2023-11-08,18 to 25,evening,TRUE,FALSE,4,2023-12-31
23k04871,2023-11-15T21:39:00Z,9,shooting,inside,firearm,832,m,26,black_or_african_american,2000 w pratt st,n/a,southwest,carrollton ridge,39.285142,-76.648573,street,1,2023,11,21,2023-11-15,26 to 34,night,FALSE,FALSE,4,2023-12-31
23k04285,2023-11-14T07:40:00Z,9,shooting,inside,handgun,722,m,36,black_or_african_american,1600 n smallwood st,n/a,western,coppin heights/ash-co-east,39.306493,-76.65259,street,1,2023,11,7,2023-11-14,35 to 50,morning,TRUE,FALSE,4,2023-12-31
23k03545,2023-11-11T20:00:16Z,9,shooting,inside,firearm,533,m,21,black_or_african_american,2900 rosalind ave,n/a,northern,cylburn,39.345816,-76.664209,street,1,2023,11,20,2023-11-11,18 to 25,night,FALSE,FALSE,4,2023-12-31
23k03563,2023-11-11T20:45:00Z,9,shooting,inside,handgun,225,m,14,black_or_african_american,2200 e biddle st,n/a,southeast,broadway east,39.304649,-76.586958,street,1,2023,11,20,2023-11-11,juvenile,night,FALSE,FALSE,4,2023-12-31
23k03392,2023-11-11T09:52:00Z,9,shooting,inside,handgun,234,m,35,black_or_african_american,5900 erdman ave,n/a,southeast,pulaski industrial area,39.300205,-76.546267,street,1,2023,11,9,2023-11-11,35 to 50,morning,TRUE,FALSE,4,2023-12-31
23k08550,2023-11-27T16:00:00Z,9,shooting,inside,handgun,821,m,16,black_or_african_american,4000 w franklin st,n/a,southwest,allendale,39.292513,-76.682618,street,1,2023,11,16,2023-11-27,juvenile,after school,TRUE,FALSE,4,2023-12-31
23l08341,2023-12-27T22:50:00Z,9,shooting,inside,handgun,412,m,19,black_or_african_american,1300 silverthorne rd,n/a,northeast,new northwood,39.351662,-76.596486,street,1,2023,12,22,2023-12-27,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l07264,2023-12-23T21:08:17Z,9,shooting,inside,handgun,533,m,31,black_or_african_american,2700 w cold spring ln,n/a,northern,central park heights,39.339643,-76.666556,street,1,2023,12,21,2023-12-23,26 to 34,night,FALSE,FALSE,4,2023-12-31
23l09592,2023-12-31T22:30:00Z,9,shooting,NA,NA,433,m,22,black_or_african_american,5300 frankford ave,n/a,northeast,frankford,39.324421,-76.540757,NA,1,2023,12,22,2023-12-31,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l09595,2023-12-31T22:40:00Z,9,shooting,outside,handgun,822,m,30,black_or_african_american,3100 phelps ln,n/a,southwest,carroll-south hilton,39.273775,-76.671529,drug store / med  bl,1,2023,12,22,2023-12-31,26 to 34,night,FALSE,FALSE,4,2023-12-31
23l04012,2023-12-13T12:38:42Z,9,shooting,inside,handgun,125,m,19,black_or_african_american,1600 e eager st,n/a,central,gay street,39.301737,-76.596357,street,1,2023,12,12,2023-12-13,18 to 25,early afternoon,TRUE,FALSE,4,2023-12-31
23l02609,2023-12-08T22:28:00Z,9,shooting,inside,handgun,725,m,24,black_or_african_american,600 n bentalou st,n/a,western,rosemont homeowners/tenants,39.294895379353704,-76.65332422691844,street,1,2023,12,22,2023-12-08,18 to 25,night,FALSE,FALSE,4,2023-12-31
23k07071,2023-11-22T14:28:00Z,9,shooting,inside,handgun,831,m,33,black_or_african_american,400 s payson st,n/a,southwest,carrollton ridge,39.282739,-76.648453,street,1,2023,11,14,2023-11-22,26 to 34,early afternoon,TRUE,FALSE,4,2023-12-31
23j04286,2023-10-11T18:52:00Z,9,shooting,inside,handgun,112,m,36,black_or_african_american,0 n howard st,n/a,central,downtown,39.2894064042271,-76.61937138676093,street,1,2023,10,18,2023-10-11,35 to 50,evening,TRUE,FALSE,4,2023-12-31
23i00266,2023-09-01T18:00:00Z,9,shooting,inside,firearm,125,m,12,black_or_african_american,1100 wilmot ct,n/a,central,oldtown,39.299303,-76.60267,street,1,2023,9,18,2023-09-01,juvenile,evening,TRUE,FALSE,3,2023-09-30
23l05413,2023-12-18T01:22:00Z,9,shooting,inside,firearm,434,m,32,black_or_african_american,4400 lasalle ave,n/a,northeast,frankford,39.33653,-76.547998,street,1,2023,12,1,2023-12-18,26 to 34,early morning,FALSE,FALSE,4,2023-12-31
23j08561,2023-10-23T21:00:00Z,9,shooting,inside,firearm,425,m,36,black_or_african_american,6100 belair rd,n/a,northeast,glenham-belhar,39.348659,-76.537676,street,1,2023,10,21,2023-10-23,35 to 50,night,FALSE,FALSE,4,2023-12-31
23k02529,2023-11-08T14:20:00Z,9,shooting,inside,firearm,333,m,35,black_or_african_american,3900 erdman ave,n/a,eastern,belair-edison,39.314807,-76.568592,street,1,2023,11,14,2023-11-08,35 to 50,early afternoon,TRUE,FALSE,4,2023-12-31
23j06733,2023-10-18T14:08:17Z,9,shooting,inside,firearm,713,m,17,black_or_african_american,600 pitcher st,n/a,western,upton,39.303112977855235,-76.6342297844441,street,1,2023,10,14,2023-10-18,juvenile,early afternoon,TRUE,FALSE,4,2023-12-31
23i04543,2023-09-13T10:30:00Z,9,shooting,outside,firearm,511,m,19,black_or_african_american,1300 w 37th st,n/a,northern,hampden,39.332221,-76.637336,other/residential,1,2023,9,10,2023-09-13,18 to 25,morning,TRUE,FALSE,3,2023-09-30
23i04793,2023-09-13T22:08:00Z,9,shooting,inside,firearm,615,m,22,black_or_african_american,2800 presbury st,n/a,northwest,northwest community action,39.30724,-76.663461,street,1,2023,9,22,2023-09-13,18 to 25,night,FALSE,FALSE,3,2023-09-30
23j02411,2023-10-06T19:10:29Z,9,shooting,inside,other_firearm,311,f,38,white,1700 lovegrove st,n/a,eastern,charles north,39.308925117827314,-76.61567971262085,street,1,2023,10,19,2023-10-06,35 to 50,evening,FALSE,FALSE,4,2023-12-31
23j02417,2023-10-06T19:50:00Z,9,shooting,inside,handgun,932,m,22,black_or_african_american,1300 w ostend st,n/a,southern,washington village/pigtown,39.28181862391859,-76.63400617216455,street,1,2023,10,19,2023-10-06,18 to 25,evening,FALSE,FALSE,4,2023-12-31
23j02091,2023-10-06T00:08:00Z,9,shooting,inside,handgun,733,m,31,black_or_african_american,1600 clifton ave,n/a,western,penn north,39.311655,-76.644486,street,1,2023,10,0,2023-10-06,26 to 34,early morning,FALSE,FALSE,4,2023-12-31
23j10500,2023-10-29T12:14:00Z,9,shooting,inside,handgun,834,f,17,black_or_african_american,1500 penrose ave,n/a,southwest,franklin square,39.291419,-76.641204,street,1,2023,10,12,2023-10-29,juvenile,early afternoon,TRUE,FALSE,4,2023-12-31
23j10528,2023-10-29T14:41:55Z,9,shooting,inside,handgun,231,m,26,black_or_african_american,1600 pumphrey st,n/a,southeast,broening manor,39.274374,-76.538435,street,1,2023,10,14,2023-10-29,26 to 34,early afternoon,TRUE,FALSE,4,2023-12-31
23k05549,2023-11-17T21:09:00Z,9,shooting,inside,firearm,334,m,43,white,3700 lyndale ave,n/a,eastern,belair-edison,39.316857,-76.566747,street,1,2023,11,21,2023-11-17,35 to 50,night,FALSE,FALSE,4,2023-12-31
23i06816,2023-09-19T12:50:00Z,9,shooting,outside,handgun,921,m,42,black_or_african_american,2900 carver rd,n/a,southern,cherry hill,39.246721,-76.625397,drug store / med  bl,1,2023,9,12,2023-09-19,35 to 50,early afternoon,TRUE,FALSE,3,2023-09-30
23i08203,2023-09-22T22:59:00Z,9,shooting,outside,handgun,722,m,33,black_or_african_american,2400 w lafayette ave,n/a,western,bridgeview/greenlawn,39.29853,-76.655074,drug store / med  bl,1,2023,9,22,2023-09-22,26 to 34,night,FALSE,FALSE,3,2023-09-30
23j07713,2023-10-21T09:30:00Z,9,shooting,inside,handgun,725,m,23,black_or_african_american,800 wheeler ave,n/a,western,evergreen lawn,39.297033261936605,-76.65498983613864,street,1,2023,10,9,2023-10-21,18 to 25,morning,TRUE,FALSE,4,2023-12-31
23j08865,2023-10-24T19:50:00Z,9,shooting,inside,firearm,923,m,24,black_or_african_american,2200 sidney ave,n/a,southern,westport,39.264132,-76.632381,street,1,2023,10,19,2023-10-24,18 to 25,evening,FALSE,FALSE,4,2023-12-31
23l06335,2023-12-20T20:03:00Z,9,shooting,inside,firearm,524,m,54,black_or_african_american,5300 ready ave,n/a,northern,woodbourne-mccabe,39.3538,-76.60792,street,1,2023,12,20,2023-12-20,51 to 74,night,FALSE,FALSE,4,2023-12-31
23i06120,2023-09-17T14:00:00Z,9,shooting,inside,firearm,832,m,27,black_or_african_american,1900 mchenry st,n/a,southwest,carrollton ridge,39.284295,-76.646789,street,1,2023,9,14,2023-09-17,26 to 34,early afternoon,TRUE,FALSE,3,2023-09-30
23i02704,2023-09-08T12:39:00Z,9,shooting,inside,handgun,615,m,29,black_or_african_american,1800 bloomingdale rd,n/a,northwest,northwest community action,39.30797,-76.669745,gas station,1,2023,9,12,2023-09-08,26 to 34,early afternoon,TRUE,FALSE,3,2023-09-30
23i02704,2023-09-08T12:39:00Z,9,shooting,inside,handgun,615,m,28,black_or_african_american,1800 bloomingdale rd,n/a,northwest,northwest community action,39.30797,-76.669745,gas station,1,2023,9,12,2023-09-08,26 to 34,early afternoon,TRUE,FALSE,3,2023-09-30
23i06996,2023-09-19T20:30:00Z,9,shooting,outside,firearm,813,m,25,black_or_african_american,5300 jamestown ct,n/a,southwest,westgate,39.283509,-76.707845,other/residential,1,2023,9,20,2023-09-19,18 to 25,night,FALSE,FALSE,3,2023-09-30
23i06576,2023-09-18T20:29:00Z,9,shooting,inside,handgun,331,m,18,black_or_african_american,3000 mayfield ave,n/a,eastern,belair-edison,39.32234947492304,-76.57256566631014,street,1,2023,9,20,2023-09-18,juvenile,night,FALSE,FALSE,3,2023-09-30
23i00326,2023-09-01T22:28:00Z,9,shooting,inside,handgun,713,m,37,black_or_african_american,1500 pennsylvania ave,n/a,western,upton,39.301947,-76.632783,street,1,2023,9,22,2023-09-01,35 to 50,night,FALSE,FALSE,3,2023-09-30
23j04313,2023-10-11T20:18:00Z,9,shooting,outside,firearm,813,m,22,black_or_african_american,300 n chapelgate ln,n/a,southwest,ten hills,39.284354,-76.700657,other/residential,1,2023,10,20,2023-10-11,18 to 25,night,FALSE,FALSE,4,2023-12-31
23l04605,2023-12-15T10:20:02Z,9,shooting,inside,firearm,713,m,27,black_or_african_american,500 wilson street,n/a,western,upton,39.30514687777849,-76.63254374854272,street,1,2023,12,10,2023-12-15,26 to 34,morning,TRUE,FALSE,4,2023-12-31
23l03191,2023-12-10T21:03:00Z,9,shooting,inside,handgun,725,m,59,black_or_african_american,400 n pulaski st,n/a,western,midtown-edmondson,39.29284721808656,-76.65041196651347,street,1,2023,12,21,2023-12-10,51 to 74,night,FALSE,FALSE,4,2023-12-31
23i08771,2023-09-24T19:25:00Z,9,shooting,inside,firearm,711,m,38,black_or_african_american,1300 n carey st,n/a,western,sandtown-winchester,39.304728,-76.638961,street,1,2023,9,19,2023-09-24,35 to 50,evening,FALSE,FALSE,3,2023-09-30
23j07153,2023-10-19T17:58:00Z,9,shooting,outside,firearm,311,m,21,black_or_african_american,100 w north ave,n/a,eastern,charles north,39.311166,-76.618115,hotel/motel,1,2023,10,17,2023-10-19,18 to 25,evening,TRUE,FALSE,4,2023-12-31
23j07120,2023-10-19T16:50:00Z,9,shooting,inside,handgun,613,m,41,black_or_african_american,2500 n rosedale st,n/a,northwest,hanlon-longwood,39.316056,-76.670469,street,1,2023,10,16,2023-10-19,35 to 50,after school,TRUE,FALSE,4,2023-12-31
23j10125,2023-10-28T11:25:00Z,9,shooting,inside,firearm,215,m,43,black_or_african_american,400 n east ave,n/a,southeast,ellwood park/monument,39.295761,-76.57213,street,1,2023,10,11,2023-10-28,35 to 50,morning,TRUE,FALSE,4,2023-12-31
23i00709,2023-09-03T02:19:00Z,9,shooting,inside,handgun,224,m,25,black_or_african_american,500 n luzerne ave,n/a,southeast,mcelderry park,39.29723,-76.580699,street,1,2023,9,2,2023-09-03,18 to 25,early morning,FALSE,FALSE,3,2023-09-30
23i02079,2023-09-06T19:10:00Z,9,shooting,inside,handgun,323,m,24,black_or_african_american,2400 e oliver st,n/a,eastern,broadway east,39.307952,-76.584154,street,1,2023,9,19,2023-09-06,18 to 25,evening,FALSE,FALSE,3,2023-09-30
23j09684,2023-10-27T06:45:00Z,9,shooting,inside,handgun,722,m,16,black_or_african_american,2200 presstman st,n/a,western,coppin heights/ash-co-east,39.308719,-76.661109,street,1,2023,10,6,2023-10-27,juvenile,morning,FALSE,FALSE,4,2023-12-31
23j09725,2023-10-27T10:00:00Z,9,shooting,inside,handgun,533,m,18,black_or_african_american,3400 st ambrose avenue,n/a,northern,central park heights,39.341014,-76.671235,street,1,2023,10,10,2023-10-27,juvenile,morning,TRUE,FALSE,4,2023-12-31
